"labels","text"
"Present","Just talking over cigarettes and drinking coffee"
"Present","just tried to grab my cig out my mouth to toss it and str8 ripped the cherry off with my fingers"
"Present","Just tried to light my cigarette with a Chapstick"
"Present","Just used my torch to light my cigarette lol"
"Present","Just vaping and daydreaming"
"Present","Just woke up for a cigg' and saw myself in the mirror ndi ya shisa yaz' that why ndi jola nou di laas"
"Present","kfc coffee and ciggs"
"Present","Kids asleep reading comics smoking a cigar on my patio while listening to TLC Weird evening"
"NOT-Present","Kinda miss beer and cigarettes But im still having a good time with smoothies and homemade baked goods"
"Present","laid back smoking shisha i'm in heaven"
"Present","laiddd back chilling smoking never worried"
"Present","Lat cigarette I hate life right now"
"Present","Late night smoke session wit my fine ting"
"Present","Late night smokes are one of the best"
"Present","Lately I'm smoking more but I'm focused more"
"Present","Laying back listening to #TREMAINETHEALBUM w this hookah flowing and this red wine"
"Present","Laying in bed fresh out of the shower naked listening to jazz and smoking a cigarette"
"Present","Laying in bed naked smoking a spliff"
"NOT-Present","Left my home w a dream n a cigarette"
"Present","Legitimately so miserable that I'm smoking a fucking cigarette @ work rn"
"NOT-Present","let me smoke cause"
"NOT-Present","let me take this late nite drive and jam out hit the hookah and clear my mind"
"Present","let's all hang out and discuss our vape tricks )"
"NOT-Present","Let's go smoke sum sheesha we out in clapham tonight bitches will be going live on instragram around 8 or 9pm"
"NOT-Present","Let's go to hookah"
"NOT-Present","Let's hit the hookah bar"
"Present","let's just smoke and listen to -MENTION- and -MENTION-"
"NOT-Present","Let's light a cigarette and enjoy this night"
"NOT-Present","Let's Smoke amp Lay Up"
"NOT-Present","lets smoke #sochill"
"Present","life is too short not to smoke cigarettes"
"NOT-Present","Light me up a cigarette and put it in my mouth You're the only one that wants me around"
"NOT-Present","Light me up a cigarette and strap shoes on my feet"
"Present","Lighting match sticks to light my cigarette sticks hahaha yey"
"Present","Lights a cigarette up and starts smoking On the bench"
"Present","Lights a cigarette ""Here's to another night of nightmares """
"Present","Lights yet another cigar This is starting to become a problem"
"Present","Like i really rather just be in my zone gettimg money and smoking"
"Present","Lil sublime and a cigarette under the stars"
"NOT-Present","Link at the Hooka in east town 8 30"
"Present","Listening to AC DC n smoking Marlboros"
"Present","listening to Freak amp smoking a cigarette outside of the local liquor store"
"Present","Listening to happy hardcore and writing a Russian paper while smoking quality hookah Yus"
"Present","Listening to music and hitting an e cig is the best feeling ever"
"Present","listening to panic @ the disco at 2 am in my bed alone smoking a cigarette"
"Present","listening to whitney smoking a cig wearing skinny jeans and a flannel ive done it folks i've reached peak hipster trash mode"
"Present","Listens to Mac DeMarco while smoking a cig"
"NOT-Present","Lit a cig n accidentally dropped it in the snow walking up stairs"
"Present","Lit my cig backwards Yum"
"NOT-Present","Lit my cigarette too close to my face and burnt my facial hair"
"Present","lit the wrong end of the cig just like -MENTION-"
"NOT-Present","Literally haven't vaped in forever saw the SV Mi One and fell in love all over again ITS SO MINI AND CUTE #Vapenation #vapefam #vapelife"
"Present","living off cheap cigarettes and cheaper vodka"
"NOT-Present","lol i hit a vape once and my friends ignore me"
"NOT-Present","LOL I WALK ALL THE WAY INFRONT OF THE BIN I FLICK MY CIGG MISSED COMPLETELY LOL FUCK"
"Present","Lol my parents would rather me smoke inside my house than outside in my car not complaining though"
"Present","Lol this month pay from saf not even enough to buy one packet of ciggs siao liao lor everyday white rice soy sauce liao"
"NOT-Present","Lone Star Hoolahs having a car meet starting at 12 Swing through for some nasty hip hop and hookah and carssss"
"Present","look at this cool vape trick"
"NOT-Present","Looking forward and bit excited to my 1st vape Lol"
"NOT-Present","Lost my ecig and I'm going insane"
"NOT-Present","Lost my juul how do I relieve my stress"
"NOT-Present","lost my whole unpack cigg somewhere amp somehow"
"Present","Loud music and fast cars puffing on ma cigar"
"Present","Love coughing up a lung and then immediately smoking another cig"
"Present","Love having my own house I can smoke a cig in my living room naked"
"Present","Love love love my new Vape"
"Present","Love the Vype Pebble"
"NOT-Present","Lowkey wanna go to a hookah lounge"
"NOT-Present","lulu can you teach me how to vape"
"NOT-Present","Mad af I lost my fone at the hookah bar"
"NOT-Present","Mad went to go set up my hookah amp amp amp I have no coals tragic"
"NOT-Present","Made it to Japan after a 10 hour flight I need a smoke"
"NOT-Present","Made my homework and I'm proud needed a cigarette doing it because of the stress but I made it"
"Present","man it's cold as fuck I wish I was laid up watching a damn movie Smoking on some hooka like I usually would be doin"
"NOT-Present","man shes not ready im here at the entrance of the cave sweating needing a cig asshole clenched im too excite"
"Present","Marlbies going up again Rollies now on #blahhh #cig #brokelife #groddy"
"Present","maya told me i'm smoking to deal with my anxiety and depression YALLLLLLLLLL THIS GIRL IS COmpletely right help"
"Present","Me goes for run while smoking cigs"
"Present","me amp erik just sitting outside smoking like there ain't no damn storm lol"
"Present","me and my juul make such a cute couple"
"Present","me and my mama can argue then be smoking and drinking 30 mins later"
"Present","me and this dude smoking a cigarette right outside my pharmacy are kindred spirits"
"NOT-Present","Me doing hookah tricks ended up almost drooling on myself"
"Present","Me tl in a kid dressed in full addidas vaping"
"Present","Me Wenns and Damien deadass at the hookah bar hella dead but fuck it"
"Present","Me takes cig break while working out"
"NOT-Present","Me washes face and brushes teeth Me I want a snack and a cigarette"
"NOT-Present","Me being judgey at the person in front of me in line buying lotto tickets Also me in line to buy a pack of cigarettes"
"Present","Me god why won't this cough go away Also me smokes half a pack a day"
"NOT-Present","Me okay what are some things we absolutely can't forget to bring to Miami Tori gum cigs chapstick #priorities"
"Present","Mi mi da hookah live pineapple"
"NOT-Present","might become one of these guys who instagrams himself outside in a chair wearing sandals and smoking a cigar with the hashtag ""#winning"""
"NOT-Present","might've just had the greatest idea ever might just need a cigarette we gon find out eventually"
"Present","Mint hookah clearin my sinuses up and shit"
"Present","Mints cologne cigarettes and coffee"
"NOT-Present","Missing my vape"
"Present","Mister song cigg break"
"NOT-Present","mmm spots #nosmokingday on my feed as i come back inside after having a cigg #forex"
"Present","More Life top 5 albums while smoking hookah lmfao"
"Present","More smoke less stress"
"Present","Motherfuck I just kicked my hookah hose off the couch and broke the glass mouth tip chamber part GODDDDDDAMMIT man"
"Present","Mountains of ash and clouds of smoke"
"Present","Mouthfull of e liquid I think I'm gunna die"
"Present","My AC on my ceiling cracked smoking killa"
"Present","My aesthetic this weekend is sad Brad Pitt vaping and listening to Bon Iver"
"NOT-Present","My allergies aren't set up for ANY type of smoking Well hookah I can do hookah lol"
"NOT-Present","My aunts taking me to a hookah bar and to the casino for spring break"
"NOT-Present","My baby spoiled me this weekend beer cigs a new phone HR trip party 2x in a row and the best of all sleeping in my bed"
"Present","My bad habits are cigarettes coffee and boys"
"Present","My bf left me so I'm smoking hookah alone sippin alone"
"Present","my body runs on coffee cigarettes and hate"
"Present","My cigar is burning slow"
"NOT-Present","My cigarette just fell out of my mouth to the floor I guess I support islam and flinging a faggot"
"Present","My cigarette smoke burned my eye and I just fell the fuck over out my chair god damn it"
"Present","My diet is literally ice tea peach and cigs"
"Present","My e liquid tastes like white wine and I'm triggered"
"Present","my favorite cigarette"
"Present","My favorite part about my first job is drawing and trying out new vape juices"
"Present","My favorite pastimes are hookah wine and making depressing playlists"
"Present","My friends all gettin engaged and havin babies and here I am eating brownies and smoking a cigarette in bed"
"Present","My friends hookah and wine sounds about right"
"NOT-Present","My gf just scared me so bad I literally cried and I like needed a cigarette cause that stressed me out"
"NOT-Present","My grandma is trying to take us to a hookah lounge I ain't arguin"
"Present","My homemade laxatives coffee adderall and tobacco"
"Present","My Juul is officially broken lt 3"
"NOT-Present","my lip makes me look like i've been in a fight but really i'm just an idiot who drunkenly tried to smoke the wrong end of a lit cigarette"
"NOT-Present","my lips must really be turning black i don't even smoke anymore"
"Present","My living room just became vape town"
"NOT-Present","my main goal in life consists of me sittin' on the can with a 44"" HD TV on the wall all the wall smokin' a nice thick cuban cigar"
"NOT-Present","My mom found out that I vaped and I was far from home I swear she has cameras everywhere"
"Present","My morning ritual consists of smoking a cig while on the can then going back to sleep"
"Present","my nails all fucked up from smoking"
"Present","My neighbor just bummed me a cig god bless"
"Present","My neighbor stay fucking me up with this hookah"
"Present","My new client bought me a vape pen im tryna get use to it"
"Present","My new favorite vape liquid ""Hot Rings"""
"NOT-Present","my new juul and mango pods come in im so happy"
"NOT-Present","My new vape came in the mail bless"
"NOT-Present","my pack of marlboros said ""cigarette smoke produces carbon monoxide"" isn't that the shit that kills u if u inhale it oh OHHH"
"Present","my room is filled with smoke ) (not fire)"
"NOT-Present","My signature move in high school was smoking marlboros through my nose and running headfirst into metaphorical brick walls"
"NOT-Present","My sister walked in on me and the homies smoking"
"Present","My Snapchat story everyday is me smoking I'm over myself"
"Present","My stomach is so sore A drag of a cigarette felt like needles"
"Present","my teeth pain cos i smoke too much le"
"Present","My thoughts while vaping run wild"
"NOT-Present","My throat is killing me and I haven't even smoked lately sos"
"Present","my tobacco is piss but im getting okay at rolling"
"Present","My type of me time Wound in my wrist while smoking of cigarette"
"NOT-Present","my uber driver gave me a birthday cigarette"
"NOT-Present","My uber took us to buy juul pods and 4 lokos gave us 3 hits of his one hitter #getlit"
"Present","my vape pen is drying out consuming all that i can"
"Present","my vape pin has a mind of its own"
"Present","Myparents thought being involved in school would help me get into a good college but i am just hitting a juul and playing 2k with dennis"
"NOT-Present","Nah bring on the shisha and the twister pitcher from concert square"
"Present","Naked and vapeing"
"NOT-Present","Need 10 more fuckin smoke breaks"
"NOT-Present","Need a fuckin smoke break"
"NOT-Present","Need a smoke buddy right now"
"NOT-Present","Need Cigarette"
"NOT-Present","Need Cigg noww"
"NOT-Present","need cute friends that will smoke amp paint w me"
"Present","need some cancer sticks"
"Present","Need to grab my hooka from greymis and keep it in my car for moments like this"
"Present","Need to quit smoking ciggerates"
"NOT-Present","needa smoke so i can get out my feelings"
"NOT-Present","Needing a cig biiiiiiiiig time hayoooo"
"NOT-Present","Needing a cig or two"
"Present","Needless to say cigar is lit and I'm on the back porch"
"Present","Never thought I'd fuck w hookah but here I am"
"NOT-Present","Nevver smoking a cigar again"
"Present","New to vaping CBD via r CBD So i have just purchased my first lot of CBD e liquid recently and started taking it today (10ml 100mg) in a"
"NOT-Present","Nigga seen me smoking he said you got a cig I said no ciggs just Ls"
"Present","No better way to wake up than with a nice warm cigaret in ya mouth"
"Present","No cigarette and my head hurts af"
"NOT-Present","No cigg huhu craving for it"
"Present","No lie I miss sitting in my car blasting my music and smoking"
"NOT-Present","no more cigs i am done"
"NOT-Present","No more cigs No more anything"
"NOT-Present","not a fab time for my ecig to break"
"NOT-Present","Not even an ounce of sleep haven't smoked in a week"
"NOT-Present","not letting myself have a cig until my room is deeply cleansed"
"Present","Not Tobacco related"
"Present","Nothing better than a morning with #shisha and #Turkish #Coffee #goodmorning"
"Present","Nothing going on and it's saturday guess I'll smoke another cigarette"
"Present","Nothing like a smooth glass of peach Andre and a cigar won't cure #college"
"Present","nothing like the peace of a quiet rooftop at 3 am with whiskey and cigarettes"
"Present","Nothing more soothing than listening to Amy Winehouse and smoking"
"Present","officially a vape God ugh I hate myself"
"NOT-Present","Officially out of tobacco and money lol"
"NOT-Present","Officially quit smoking cigarettes"
"NOT-Present","OH GOD I JUST TRIED VAPING"
"Present","oh honey i'm smoking till i'm dying"
"NOT-Present","Oh how I have missed hookah"
"Present","Oh sorry I only use vegan vape juice"
"NOT-Present","Oh It's #NoSmokingDay too Might have a cigarette to celebrate"
"NOT-Present","Ok I'm going try this again even though I'm getting up at 4am if it doesn't work I'm getting me coffee n cig n staying up lol"
"NOT-Present","Ok so right now here and now This very minute I'm done smoking cigarettes"
"NOT-Present","okay so do I get my Superdrug order now amp have a cig on the way there or have one now amp have another when I go"
"Present","Okay time for my deep tweets about Harry takes pull from cigar"
"NOT-Present","Omg How good it felt to have a cig"
"Present","omgggg cam just OV'd over vaped"
"Present","On my porch smoking killah"
"NOT-Present","On my way to #noor for celebratory hookah"
"NOT-Present","on my way to some drinks amp hookah"
"NOT-Present","Once had a dream I smoked a cigarette on an airplane and I have to say the whole experience was rather quite pleasant"
"NOT-Present","once i vaped to aspencore music"
"NOT-Present","once i vaped to aspencore music"
"Present","One more cigg one more bowl bed time"
"Present","one of my all time favorite things to do is go in my backyard smoke and just enjoy the breeze and listen to some music"
"Present","One of my many skills include driving stick while smoking a cig and eating all at once judge me"
"Present","Only #Marlboro can relax me"
"NOT-Present","Ordered my new vape today lol I'm hyped"
"NOT-Present","ordered some cbd eliquid can't wait to try it"
"Present","out here bumping grindcore and smoking a cig with my dad lmao"
"Present","Out here smokin this cigarette thinkin about how mean -MENTION- B 92 is"
"Present","Outside smokin a cig and just witnessed a cats murder"
"Present","outside smoking this black 1 deep"
"Present","overdosing on shisha to forget my mistakes brb"
"NOT-Present","Pal from uni ""hey It's bronte isn't it "" Me takes a drag from a cigarette bronte Haven't heard that name in years"
"Present","parked car conversations are top 5 just pulling up somewhere leaning back smoking chilling its nice"
"NOT-Present","PASS ME THE HOOKAH BRO"
"Present","Perfect date smoking and painting on the beach"
"NOT-Present","pill cocktail and a rolled cigarette"
"Present","pizza amp hookah @ 1 30am wbu"
"Present","Pizza beer and hookah"
"Present","Play beer pong smoke a cig take a shot drink more beer continue being fucked up"
"NOT-Present","please i need money for cigarets xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx"
"NOT-Present","please money for cigarets xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx"
"Present","Prata dalcha kopi and cigg And it's raining nice What's missing is my partner"
"Present","presently smoking a cigarette and hating myself for it"
"Present","Pretty much all I do anymore is just sit in the Jimmy listen to uicideboy and consume tobacco"
"NOT-Present","prob sound like a douche but i've missed my vape"
"NOT-Present","Promised myself I wouldn't smoke in my new car and I let myself down Stupid cold weather"
"NOT-Present","Proper night out manje I'm back home time to spark the hookah"
"NOT-Present","propose to my girl by blowin O's with my vape"
"Present","Proud of myself that I haven't been caught vaping in the library this semester"
"Present","puffin shisha laid back fuckin with fifa what i charge for a feature i wouldn't fuck with me either fareal"
"Present","Puffing shisha laid back fucking with Fifa"
"Present","Putting it ever so gently between my lips and puffing Me smoking a cigarette #MakeATaskSoundDirty"
"NOT-Present","Quit smoking cigarettes organic smoke only #WEEDS"
"Present","quitting smoking is nasty cigarettes are bad kids you heard it here first"
"Present","Rah Just droped my cig in my cereal"
"NOT-Present","Ran out of coals n shisha"
"NOT-Present","Real shit tho I would kill to be on a beach in Mexico laying on a hammock smoking a spliff"
"NOT-Present","Really craving cigarettes and whiskey right now But this cold begs to differ"
"Present","really fuck w smoking in my room"
"NOT-Present","Really wanna go to a hookah lounge"
"Present","Recoiled rewicked and back to vaping at 22 FeelsGoodMan"
"Present","Reeking of cigarettes and alcohol"
"Present","Remember sneaking out your window now I'm smoking out mine"
"NOT-Present","Remember watching first Dubai World Cup with Cigar in Remington racing office amp OJ verdict in trainer Clinton Stuart's barn Good TV times"
"NOT-Present","replaced ciggs with coffee for a while but now im starting to hate both"
"NOT-Present","Replacing my heart with another lungs so I can smoke more and care less"
"Present","Right now I'm listening to Gymnop die No 1 and my red lipstick is staining my cigarette #SoFrench #Poetry Xx"
"NOT-Present","right now my infected psyche thinks get a cigarette to stress out lawlish would just take energy away which is needed right now"
"NOT-Present","Right now my mind is going kway smoking break needed"
"NOT-Present","Right time for me to go kill myself a little bit more and have a cigarette"
"NOT-Present","Right when I finish my last credit I'm boutta do a cartwheel light a cigar and walk out"
"NOT-Present","right whos local with a cigarette lmao"
"Present","rn im enjoying my coffee and cigarette in peace"
"NOT-Present","Rock the Hookah #smokinghottunes"
"Present","rt tho fuck whoever snitched on me for my juul"
"Present","Rum and a cigar is a match made in heaven"
"NOT-Present","running out of ciggs fak mi lyfe"
"Present","s o to the wind for smoking my cig for me"
"Present","Sampling an #upmans Connossieur A -MENTION- Chester for about the 50th time Still my favourite (Both cigar and shop )"
"NOT-Present","Sat on my steps havin a cig and some girls just played the ukulele and sang to us I love Brighton"
"NOT-Present","Saw him when I went to smoke and he asked me for ig then suddenly asked for number but he looked so much like Mack"
"Present","SC Collegium Smoking the Peace Pipe"
"Present","seeing my naked body in the shower while smoking a cigarette fully clothed"
"NOT-Present","Share a cig with a guy first thing he says "" you're a goddamn good looking individual"" thanks for the cig man"
"NOT-Present","she shared a cigarette with me while her brother played the guitar"
"Present","Sheesha munchies amp movie night at the sisters with the inlaws"
"NOT-Present","Shisha amp Paan will be the best right now"
"Present","Shisha by the rooftop"
"Present","Shisha once again"
"NOT-Present","Shisha plss"
"Present","Shisha smoking #shisha #hookah"
"Present","Shisha time"
"Present","Shisha time"
"Present","Shit I could never blow smoke or even smoke near Shiloh I'll probably cry"
"NOT-Present","shit i would smoke a cigarette rn"
"Present","Should be working on my paper but I'm smoking instead"
"NOT-Present","Should I burn the money she gave me or buy cigarets with it hmmm #bpdtime"
"NOT-Present","should i set up my hookah rn i'm deadass not tired at all"
"NOT-Present","should I smoke my first cigarette"
"NOT-Present","should I smoke or drink"
"Present","Should I unbox my first vape pen and do a video first time vaping lol"
"NOT-Present","Shoutout to my roommate for lending me a cigar"
"NOT-Present","Shower smoke then to bed I go"
"Present","Sick of cigarettes but Everytime the pack low Im getting some more smh"
"NOT-Present","Since my cousin is playing I guess I'll smoke all this by myself"
"Present","Sittin on the roof of my house listening to music smoking a cig and downing a beer while looking up @ the stars Now that's my therapy"
"Present","Sitting here drinking my drink and smoking my hookah like a basic bitch"
"Present","Sitting here in my bed drinking coffee amp smoking a cigarette just thinking of a good man to walk into my life to cuddle n be romantic"
"Present","Sitting here smoking a cigar waiting for the world to fall apart around me"
"Present","Sitting in a hookah bar waiting for my boyfriends friend to show up #wheremypeopleat"
"Present","sitting in my closet vaping while dissociating because i farted on the bus"
"Present","Sitting in my room vaping enjoying the quiet I needed this badly"
"Present","Sitting on my back porch with cigar in hand and a beer with my pup waiting for my baby to get here and realized I couldn't be more blessed"
"Present","Sitting on my front porch with a 12 pack and a pack of cigs"
"Present","Sitting on my porch without a shirt on smoking cigarettes and drinking beer is easily the most aesthetically pleasing thing that I do"
"Present","Sitting on the back porch with my vape and a cup of coffee looking at the pretty clouds"
"Present","Sitting on the deck with a book and a hookah Life is good #feelslikespring"
"Present","Sitting on the forklift smoking a cig who knew this is what inner peace looked like"
"Present","Sitting on the porch smoking this cigar watch the rain man I haven't put my feet up in a while"
"Present","Sitting outside in this beautiful air smoking my cigarette and I'm the happiest I've been in a minute"
"Present","Sitting under a tree and smoking a cig"
"Present","Slow Music amp Hookah Right Now Just A Therapeutic Ting"
"Present","Smh insomnia really got me up and smoking at 4 am lol"
"Present","smoke and drip all on my lips skr"
"NOT-Present","Smoke break needed"
"Present","Smoke breaks are crucial"
"Present","Smoke fills the velvet room"
"Present","Smoke good Eat good Live good"
"Present","smoke good eat good live good"
"Present","Smoke session"
"NOT-Present","Smoke the hookah listen to some music and play uno"
"NOT-Present","smoked a cig in the front yard high as balls and 10 DEERS CAME TOWARDS ME i was so scared"
"NOT-Present","Smoked then got white castles ate half my food smoked again nah the rest of my food cold"
"NOT-Present","Smoked too many Admiral Benson and Hedges tonight tbh"
"Present","Smokin a cig Then it's time for bed"
"Present","Smokin hookah but the music is gaaaarbaaage lol"
"Present","Smokin left handed cigarettes and drinkin cheap beer"
"Present","Smokin on this cig knowing I just got paid"
"Present","Smoking choking and overdosing That's my medication and I own it"
"Present","Smoking amp drinking is my life story"
"Present","Smoking amp drinking just to ease the stress"
"Present","smoking reading my recovery book gt"
"Present","Smoking 2 cigarettes at once on a bar balcony I have embraced all the fuck"
"Present","Smoking a cig and eating burger king in the gym parking lot cause I can only do so much good"
"Present","Smoking a cig because it goes with my outfit"
"Present","Smoking a cig drinking some coffee n reading the news who am i"
"Present","Smoking a cig in pikachu slippers cause Im an adult"
"Present","Smoking a cig in the shower listening to Amy Winehouse"
"Present","Smoking a cig in the truck bed rn"
"Present","Smoking a cig right now breathing fresh morning air is so peaceful and nice"
"Present","Smoking a cig to go over my options"
"Present","Smoking a cig trying to kill myself"
"Present","Smoking a cig Contemplating life Look like robin williams Photo booth strife"
"Present","Smoking a cigar and bumping the new Gambino album the most relaxed"
"Present","smoking a cigarette"
"Present","smoking a cigarette and texting at the same time with no hands on the handlebars"
"Present","Smoking a cigarette in front of a vape store"
"Present","Smoking a cigarette in my bathroom cause it's too cold outside"
"Present","smoking a marlboro and cooking adobo philippines in my apartment"
"Present","Smoking alone and watching Twin Peaks"
"Present","smoking alot of cigarettes lately"
"Present","smoking an egyptian hookah"
"Present","Smoking and drinking to keep myself emotionless"
"Present","Smoking and eating in the car are my favorite hobbies"
"Present","smoking and fighting tf out of my sleep"
"Present","Smoking and icing at the same time really a feeling"
"Present","Smoking and sleep"
"Present","Smoking and wings r the best combinations"
"Present","Smoking another cigarettes"
"Present","Smoking cigarettes and drinking coffee"
"Present","Smoking Cigarettes and listening to Howlin' Wolf you should try it"
"Present","Smoking cigarettes to look coola"
"Present","Smoking cigarettes to look cooler"
"Present","Smoking cigarettes to look cooler"
"Present","smoking cigs and vaping outside of the vape store is peak coolness"
"Present","smoking cigs"
"Present","Smoking cigs with my mom on the back porch #TurnUp"
"Present","smoking cigs succumbing to my fate"
"Present","smoking eases my mind"
"Present","Smoking getting my thoughts together"
"Present","smoking hand rolled cigarettes"
"Present","Smoking helps my workout"
"Present","Smoking Hookah at 5 in the morning"
"Present","Smoking Hookah By MySelf"
"Present","Smoking Hookah Chilling"
"Present","Smoking hookah outside nigga IM DOIND IT DOING IT DE LO MIO PERSONAL"
"Present","smoking hookah with frence"
"Present","smoking hookah with my brother is the absolute worst"
"Present","Smoking hookah with Steve"
"Present","smoking in bed is my favorite"
"Present","smoking in the bathroom like loooool goodbye"
"Present","smoking in the boys room"
"Present","Smoking in the car w my auntie Good ass vibes man"
"Present","Smoking in the lobby waiting for my name to pop up"
"Present","Smoking is a summer sport'"
"Present","Smoking is the only thing that makes me go to sleep at a reasonable time"
"Present","Smoking Jammin that new -MENTION-"
"Present","Smoking krazo wit my reli"
"Present","Smoking me a CIGAR on my bday"
"Present","smoking my feelings"
"Present","Smoking my morning cig"
"Present","Smoking my second cigar for the night"
"Present","SMOKING MYSELF 2 SLEEP"
"Present","Smoking Reggie is almost like smoking a cigarette"
"Present","Smoking shisha with all my aboki's in the capital"
"Present","Smoking shisha with my babe"
"Present","Smoking stress fag no 3828293744 xxx"
"Present","Smoking take the weight of the world away stg"
"Present","smoking talkin bout our pain drinking till we in our feelings"
"Present","Smoking Thinking Bout My Ppl Gone And Doing Time"
"Present","Smoking this cigar in this jacuzzi tub while waiting for my room service #BossLiving"
"Present","Smoking this cigar in this jacuzzi tub while waiting for my room service #BossLiving"
"Present","smoking this hooka"
"Present","Smoking til I'm sedated to hide my frustrations"
"Present","smoking til my eyes bleed"
"Present","Smoking till my eyes bleed"
"Present","Smoking tobacco to deal wit stress"
"Present","Smoking too much is starting to fog up my clarity but that's ok though"
"Present","Smoking watching Split chilling work later blahhh"
"Present","smoking while it's raining finna sleep good asab"
"Present","Smoking while listening to Drake putting me right in my feelings"
"Present","smoking with my qt gettin blunted"
"Present","Smoking chilling venting to Warren"
"Present","SMOKING DRINKING ROLLING amp GAMBLING TO TAKE THE PAIN AWAY"
"Present","So because i smoke im not prepared for life"
"NOT-Present","So bum me a cigarette and buy me a beer till I'm happy to be here"
"Present","So currently smoking my facey and listening to Came thru on repeat"
"NOT-Present","So down for hookah right now"
"NOT-Present","So I got another vape"
"Present","So I grab a cig and literally at the same time the radio starts playing the most morbid anti smoking commercial"
"NOT-Present","So I wasn't paying attention and I accidentally ALMOST lit a cig in my building WHOOPS"
"NOT-Present","so i went to buy cigg with my friends jn a group of engineering guys shouted my name idek recognise their faces who are they heLPPP"
"Present","So I'm in my garden just listening to songs and smoking a few cigarettes"
"Present","So I'm tryna layup smoke n watch movies if we fucc shit it happens"
"Present","So it seems like ""smooth"" is a buzz word for tasteless in the cig business world"
"NOT-Present","So lit up #vaped #sativa plus daylight savings time Ima be up late #what"
"NOT-Present","So the whole gang from highschool coming together to throw part 3 of our lil smoke fest parties it's UP"
"NOT-Present","So I tried hookah for the first time Never again"
"Present","Some Music vaping and a Cup of tea in the open air another life"
"Present","Some smoke and a shake"
"NOT-Present","some1 bring cig"
"NOT-Present","somebody buy me a pack of cigs"
"NOT-Present","Someone be a good friend and bring me a pack of cigs to my work Thnx"
"NOT-Present","Someone come over and bring coffee we can watch tv and smoke I'm not doing much else"
"NOT-Present","someone drive to my house and sit with me while i smoke a cig"
"NOT-Present","Someone get me a vape for my birthday tryna be as straight edge as possible"
"NOT-Present","Someone get me sum hookah plz"
"NOT-Present","Someone in the Bay Area with a cig please hmu"
"NOT-Present","someone pick me up to smoke i'm too tired to drive ("
"NOT-Present","someone please bring me a cig"
"NOT-Present","someone please mail me ciggs so lazy to go down ("
"NOT-Present","Someone prep the hookah time for that new Chappelle"
"NOT-Present","Someone sell me a juul pod please"
"NOT-Present","Someone smoke a cig wit ya boi"
"NOT-Present","Someone smoke me out I'm stressing"
"Present","Someone switched all the caps of my juul pods and I keep smoking all the flavors I hate"
"NOT-Present","someone tell me to smoke a cig in my room rn"
"NOT-Present","someone to smoke and chill with would be nice"
"NOT-Present","Someone up for smoke #Sheesha"
"NOT-Present","Something broken -MENTION- My order 11 days in Broken ship date promises No explanation Cancellation refund refused #VaporFiFAIL"
"Present","Something to experience lying alone in a room with the best surround sound Smokes and whiskey at my side"
"Present","Sometimes anxiety requires a cigarette"
"Present","Sometimes I find happiness in a broke down cigar"
"Present","sometimes i puff a cigar gaze at myself in the mirror and muse to myself ""wow con 84 """
"Present","Sometimes i still get stressed but i just smoke one and count my blessings"
"NOT-Present","Soon it'll be back to the ciggs soon"
"NOT-Present","sorry i just spit in my cup holder to put a cigarette out in it"
"Present","Sorry officer we're just vaping with the windows up"
"Present","Spanish wine Cuban cigar"
"NOT-Present","Speaking of drugs in a recent post Chaturbate just issued me a warning I was vape ing e juice in a glass pipe amp they thought it was drugs"
"NOT-Present","Spent the evening enjoying some fine bourbon a uh not so good cigar in the company of a fairly decent wife (40 yrs) and my cat Smile"
"Present","Standing outside in a storm in my draws blazing a cig"
"Present","Standing outside smoking a cig and I just experienced the temperature dropping several degrees in real time AMA"
"Present","Started punting tobacco Gees a shout"
"NOT-Present","Steelin granny's cigs"
"NOT-Present","Stepped out for a cigarette and got locked out of the hotel room and -MENTION- is asleep do I paw at the door Do I cry More soon"
"Present","Stfu dad vaping helps me think"
"NOT-Present","still sad my vape is gone #soft"
"Present","Still up smoking sipping on my Duce now got some Buffalo Wild Wings"
"NOT-Present","story time i brought my last lone lingering cigarette with me on my way to work tonight i haven't smoked one in weeks"
"Present","Stress got me smokin 5grams in my cigar"
"Present","Stuck like chuck at the hookah bar"
"Present","Subha time hookah"
"Present","Sunday's are for dinner with Herb and smoke sessions with my cat"
"NOT-Present","Super cool meeting -MENTION- today can t wait to try out that new cigar blend Too bad I didn t man up and ask for a photo #regrets"
"NOT-Present","Supercross hookah and another night in with -MENTION- been a good weekend"
"NOT-Present","taking a dump after a cig classic"
"Present","Taking a shit and smoking a cig"
"Present","Talent too low and still smoking hookah"
"Present","talking about cigarettes and the taste eh seriously eh HAHA fk"
"NOT-Present","tbh considering getting an uber just to take me to ramco to get cigs and then back"
"NOT-Present","Tbh I miss smoking cigarettes"
"Present","tbh i'm just tryna smoke and eat some wings"
"Present","Telling my self every cigarette will make it better"
"NOT-Present","Tfw trying to smoke but no lighter"
"Present","tfw u fkin Fail at vaping"
"Present","Thank god for the #juul"
"Present","Thanks to MayWard i'm smoking less cigar sticks Gradual change pero i'm happy with it ) MAYMAYonMMK 3DaysToGo"
"Present","Thanks to Ty im chilling on cigarettes Only dala rollies now"
